pred,MSE,SAD,GRAD,CON
GT13_alpha_NbRGBdfsilly.png,0.05085581,12.57948,26631.77,12960.89
GT13_alpha_NbcAdnorm.png,0.05661265,16.2656,37365.42,12866.91
GT13_alpha_NbcAdsilly.png,0.08782724,21.36114,57610.8,18014.79
GT13_alpha_Nbnorm.png,0.03267091,9.975501,19399.38,9385.087
GT13_alpha_Nbsilly.png,0.03383109,10.25822,21054.2,9729.446
GT13_alpha_RF1000prob.png,0.02656882,10.8749,23349.75,10653.11
GT13_alpha_RF100prob.png,0.02499098,10.60058,21644.72,10242.79
GT13_alpha_RF100prob2.png,0.02384681,10.33509,20131.79,10090.24
GT13_alpha_RF100prob3.png,0.02452846,10.27598,20592.06,10201
GT13_alpha_RFhsvlbprob.png,0.01401406,7.519275,10949.12,6839.8
GT13_alpha_RFlablbprob.png,0.01463386,7.888853,10514.68,7302.174
GT13_alpha_RFlbprob.png,0.01934207,9.408487,15304.7,8744.591
GT13_alpha_RGBdfnorm.png,0.04185398,11.143,24365.82,10850.62
GT13_alpha_RGBdfsilly.png,0.05405289,12.89885,32089.18,13000.32
GT13_alpha_cAdnorm.png,0.06171887,14.00225,41410.54,13436.18
GT13_alpha_cAdsilly.png,0.06084584,13.87659,40079.88,13310.62
GT13_alpha_mNbRGBdfsilly.png,0.03941168,11.64495,22256.05,11987.22
GT13_alpha_mNbcAdsilly.png,0.0565054,16.27144,36910.87,12869.08
GT13_alpha_mNbsilly.png,0.03117848,9.889837,19551.81,9347.991
GT13_alpha_norm.png,0.03872642,10.69285,20803.78,10026.28
GT13_alpha_normplus.png,0.03421942,10.14817,19092.55,9534.479
GT13_alpha_s2cAdsilly.png,0.03674131,10.40712,20177.56,9733.786
GT13_alpha_silly.png,0.03666406,10.42322,20191.84,9748.058
